date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2023-02-01,sh.000002,3419.3946,3443.1944,3401.7705,3443.1932,33912711000,413012127688.0000,0.810939,1,0.898547,0.000000,0.000000,0.000000,0.000000,0
2023-02-02,sh.000002,3450.3683,3454.5201,3430.0605,3443.9938,33309217300,428266922951.0000,0.796484,1,0.023252,0.000000,0.000000,0.000000,0.000000,0
2023-02-03,sh.000002,3433.4783,3433.4783,3391.2493,3420.6546,29306115900,378355677680.0000,0.700762,1,-0.677678,0.000000,0.000000,0.000000,0.000000,0
2023-02-06,sh.000002,3400.9989,3406.9371,3381.5990,3394.7236,26669351300,348799466031.0000,0.637605,1,-0.758071,0.000000,0.000000,0.000000,0.000000,0
2023-02-07,sh.000002,3401.6004,3406.5956,3389.5390,3404.4821,25067830000,320867017289.0000,0.599315,1,0.287461,0.000000,0.000000,0.000000,0.000000,0
2023-02-08,sh.000002,3408.0548,3413.9434,3385.9338,3387.6748,23430866400,293025861767.0000,0.560149,1,-0.493682,0.000000,0.000000,0.000000,0.000000,0
2023-02-09,sh.000002,3383.1709,3427.9132,3381.1199,3427.9132,25426044800,351335474282.0000,0.607824,1,1.187788,0.000000,0.000000,0.000000,0.000000,0
2023-02-10,sh.000002,3423.7822,3427.4731,3403.6056,3417.7133,26031495100,341443021641.0000,0.622285,1,-0.297554,0.000000,0.000000,0.000000,0.000000,0
2023-02-13,sh.000002,3413.8534,3443.3872,3409.2822,3442.4103,29689833000,396678772658.0000,0.709628,1,0.722618,0.000000,0.000000,0.000000,0.000000,0
2023-02-14,sh.000002,3447.4508,3452.4520,3437.2157,3452.0248,27075062000,355313578855.0000,0.647125,1,0.279296,0.000000,0.000000,0.000000,0.000000,0
2023-02-15,sh.000002,3452.8023,3455.0801,3432.3829,3438.6165,26967761400,357317142340.0000,0.644553,1,-0.388418,0.000000,0.000000,0.000000,0.000000,0
2023-02-16,sh.000002,3439.9151,3468.3527,3387.0786,3405.6491,38046830400,467995462816.0000,0.909248,1,-0.958740,0.000000,0.000000,0.000000,0.000000,0
2023-02-17,sh.000002,3401.1330,3419.7525,3378.6019,3379.4036,27812652500,355334929223.0000,0.000000,1,-0.770646,0.000000,0.000000,0.000000,0.000000,0
2023-02-20,sh.000002,3386.1741,3449.6915,3381.3111,3448.9535,32467658300,397451409372.0000,0.775768,1,2.058052,0.000000,0.000000,0.000000,0.000000,0
2023-02-21,sh.000002,3450.3110,3468.2883,3440.6402,3465.9195,32410117100,390415732472.0000,0.774314,1,0.491917,0.000000,0.000000,0.000000,0.000000,0
2023-02-22,sh.000002,3450.7219,3466.4526,3445.1233,3449.7673,25514712100,320303232389.0000,0.609551,1,-0.466029,0.000000,0.000000,0.000000,0.000000,0
2023-02-23,sh.000002,3452.2445,3466.8738,3433.2215,3445.9380,26210937200,334147869101.0000,0.626152,1,-0.111002,0.000000,0.000000,0.000000,0.000000,0
2023-02-24,sh.000002,3445.7048,3446.8998,3410.8020,3424.6144,23402217400,307844698571.0000,0.559030,1,-0.618804,0.000000,0.000000,0.000000,0.000000,0
2023-02-27,sh.000002,3413.9443,3434.5978,3408.5440,3415.1512,24256952400,324236087609.0000,0.579126,1,-0.276329,0.000000,0.000000,0.000000,0.000000,0
2023-02-28,sh.000002,3423.2164,3438.5975,3402.6184,3437.7521,25124736100,317503603006.0000,0.599298,1,0.661783,0.000000,0.000000,0.000000,0.000000,0
2023-03-01,sh.000002,3437.2426,3475.0443,3429.7500,3472.1071,31806588400,384038319436.0000,0.758621,1,0.999345,0.000000,0.000000,0.000000,0.000000,0
2023-03-02,sh.000002,3467.5515,3480.8884,3465.8935,3470.2678,32824009800,389021500968.0000,0.782619,1,-0.052974,0.000000,0.000000,0.000000,0.000000,0
2023-03-03,sh.000002,3474.5707,3491.2009,3461.8602,3488.8865,34377949400,388596164196.0000,0.819673,1,0.536521,0.000000,0.000000,0.000000,0.000000,0
2023-03-06,sh.000002,3492.6937,3493.7802,3468.2702,3482.2400,34031322200,431347750113.0000,0.811407,1,-0.190505,0.000000,0.000000,0.000000,0.000000,0
2023-03-07,sh.000002,3480.3261,3504.0873,3442.7855,3443.5182,38966385900,429780572654.0000,0.928955,1,-1.111980,0.000000,0.000000,0.000000,0.000000,0
