date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2023-02-01,sh.000016,2819.1796,2820.8742,2780.8873,2820.8742,3755598700,71988315699.0000,0.307422,1,0.460204,0.000000,0.000000,0.000000,0.000000,0
2023-02-02,sh.000016,2828.5306,2828.5306,2798.3520,2811.8468,3406447500,70794092706.0000,0.278843,1,-0.320021,0.000000,0.000000,0.000000,0.000000,0
2023-02-03,sh.000016,2795.1088,2795.1088,2753.0579,2774.8009,3100746000,65413067444.0000,0.253819,1,-1.317494,0.000000,0.000000,0.000000,0.000000,0
2023-02-06,sh.000016,2744.7003,2744.7003,2716.7278,2735.0045,2630430000,59654757748.0000,0.215320,1,-1.434207,0.000000,0.000000,0.000000,0.000000,0
2023-02-07,sh.000016,2744.6958,2752.7858,2730.8293,2740.4446,2070821000,42790863179.0000,0.169512,1,0.198906,0.000000,0.000000,0.000000,0.000000,0
2023-02-08,sh.000016,2744.4896,2758.0379,2727.7726,2731.2516,2011526100,38028487516.0000,0.164658,1,-0.335457,0.000000,0.000000,0.000000,0.000000,0
2023-02-09,sh.000016,2725.2019,2765.6239,2723.5612,2761.8720,1982508100,48791468328.0000,0.162283,1,1.121112,0.000000,0.000000,0.000000,0.000000,0
2023-02-10,sh.000016,2757.5304,2757.5304,2738.6123,2746.7231,1851016700,40747626268.0000,0.151519,1,-0.548501,0.000000,0.000000,0.000000,0.000000,0
2023-02-13,sh.000016,2739.7170,2772.0452,2733.2075,2767.7933,3010436400,63989468953.0000,0.246426,1,0.767103,0.000000,0.000000,0.000000,0.000000,0
2023-02-14,sh.000016,2770.2442,2776.9822,2760.5923,2776.9822,2229484000,49531533948.0000,0.182500,1,0.331994,0.000000,0.000000,0.000000,0.000000,0
2023-02-15,sh.000016,2776.0144,2780.5931,2746.2808,2752.3385,2391906700,48613527296.0000,0.195795,1,-0.887427,0.000000,0.000000,0.000000,0.000000,0
2023-02-16,sh.000016,2754.9507,2787.1561,2725.8385,2742.8042,3259397400,64225693018.0000,0.266806,1,-0.346407,0.000000,0.000000,0.000000,0.000000,0
2023-02-17,sh.000016,2737.0106,2759.5249,2712.5023,2714.2891,2701408300,52873770382.0000,0.000000,1,-1.039633,0.000000,0.000000,0.000000,0.000000,0
2023-02-20,sh.000016,2720.0472,2790.9807,2717.5014,2788.3958,3854566600,70567258808.0000,0.315525,1,2.730243,0.000000,0.000000,0.000000,0.000000,0
2023-02-21,sh.000016,2785.9941,2805.7146,2779.1772,2802.1357,3558722600,63800608940.0000,0.291308,1,0.492753,0.000000,0.000000,0.000000,0.000000,0
2023-02-22,sh.000016,2786.7187,2795.2446,2766.3587,2769.3440,2131012300,45344054801.0000,0.174439,1,-1.170240,0.000000,0.000000,0.000000,0.000000,0
2023-02-23,sh.000016,2770.7154,2790.8863,2757.4858,2767.5352,2312096100,49463966830.0000,0.189262,1,-0.065315,0.000000,0.000000,0.000000,0.000000,0
2023-02-24,sh.000016,2762.7900,2764.6483,2722.1790,2727.5902,2506208500,49608201967.0000,0.205152,1,-1.443342,0.000000,0.000000,0.000000,0.000000,0
2023-02-27,sh.000016,2713.4250,2738.1200,2712.7882,2723.5835,2228827600,44925779261.0000,0.182446,1,-0.146895,0.000000,0.000000,0.000000,0.000000,0
2023-02-28,sh.000016,2730.5193,2740.2240,2703.2617,2737.1547,2417089600,45601510423.0000,0.197857,1,0.498285,0.000000,0.000000,0.000000,0.000000,0
2023-03-01,sh.000016,2736.0497,2783.3229,2729.8039,2773.6494,3589395200,59859898942.0000,0.293818,1,1.333308,0.000000,0.000000,0.000000,0.000000,0
2023-03-02,sh.000016,2766.0779,2782.7906,2762.1135,2769.1077,3374775200,52817037672.0000,0.276250,1,-0.163745,0.000000,0.000000,0.000000,0.000000,0
2023-03-03,sh.000016,2778.8926,2784.1253,2757.6860,2774.5079,4042899200,53308630783.0000,0.330941,1,0.195016,0.000000,0.000000,0.000000,0.000000,0
2023-03-06,sh.000016,2773.2724,2774.0032,2734.9611,2744.1406,3830167500,67238922936.0000,0.313527,1,-1.094511,0.000000,0.000000,0.000000,0.000000,0
2023-03-07,sh.000016,2741.7908,2761.3515,2711.2500,2713.1681,5514611100,73443730822.0000,0.451411,1,-1.128678,0.000000,0.000000,0.000000,0.000000,0
