date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-05-23,sh.601800,4.2137191500,4.2211770600,4.1316821400,4.1764296000,26789708,150355868.0000,2,3.200065,1,-1.060100,7.846634,0.309632,9.463277,1.149367,0
2012-05-24,sh.601800,4.1988033300,4.2137191500,4.1316821400,4.1465979600,21027394,117416843.0000,2,2.511749,1,-0.714300,7.790587,0.307421,9.395682,1.141157,0
2012-05-25,sh.601800,4.1391400500,4.1913454200,4.1093084100,4.1316821400,20657634,114844595.0000,2,2.467581,1,-0.359700,7.762563,0.306315,9.361885,1.137052,0
2012-05-28,sh.601800,4.1242242300,4.2733824300,4.1167663200,4.2659245200,49692269,280961613.0000,2,5.935804,1,3.249100,8.014776,0.316267,9.666061,1.173996,0
2012-05-29,sh.601800,4.2510087000,4.3255878000,4.2360928800,4.2733824300,65414067,375256967.0000,2,7.813793,1,0.174800,8.028788,0.316820,9.682960,1.176049,0
2012-05-30,sh.601800,4.2584666100,4.2584666100,4.1913454200,4.2062612400,38174810,215585323.0000,2,4.560029,1,-1.570700,7.902681,0.311844,9.530872,1.157577,0
2012-05-31,sh.601800,4.1838875100,4.1988033300,4.1391400500,4.1615137800,18414053,102878755.0000,2,2.199582,1,-1.063800,7.818610,0.308527,9.429479,1.145262,0
2012-06-01,sh.601800,4.1615137800,4.1764296000,4.1242242300,4.1465979600,21689998,120599058.0000,2,2.590898,1,-0.358400,7.790587,0.307421,9.395682,1.141157,0
2012-06-04,sh.601800,4.0943925900,4.0943925900,3.9377764800,3.9452343900,50931944,274971657.0000,2,6.083885,1,-4.856100,7.412267,0.292492,8.939417,1.085741,0
2012-06-05,sh.601800,3.9526923000,3.9676081200,3.8408236500,3.8781132000,37404519,194982582.0000,2,4.468017,1,-1.701300,7.286160,0.287516,8.787329,1.067269,0
2012-06-06,sh.601800,3.8781132000,3.8781132000,3.8781132000,3.8781132000,0,0.0000,2,,0,0.000000,7.286160,0.287516,8.787329,1.067269,0
